iter	Passed	Remaining
0	18	9398
1	39	9758
2	60	10065
3	82	10212
4	104	10363
5	129	10661
6	145	10245
7	170	10457
8	196	10710
9	219	10775
10	238	10589
11	258	10525
12	284	10645
13	309	10752
14	334	10829
15	357	10818
16	383	10885
17	403	10794
18	428	10841
19	447	10737
20	467	10673
21	487	10585
22	511	10610
23	536	10642
24	559	10625
25	582	10628
26	601	10545
27	626	10569
28	646	10497
29	665	10418
30	683	10343
31	706	10331
32	727	10293
33	748	10262
34	769	10219
35	788	10166
36	816	10213
37	842	10239
38	866	10242
39	884	10167
40	909	10176
41	934	10190
42	960	10209
43	979	10151
44	1001	10125
45	1027	10141
46	1053	10149
47	1073	10106
48	1090	10039
49	1116	10047
50	1143	10065
51	1168	10063
52	1185	9997
53	1200	9913
54	1217	9848
55	1235	9799
56	1256	9767
57	1274	9715
58	1293	9667
59	1307	9588
60	1324	9529
61	1344	9496
62	1368	9494
63	1384	9428
64	1398	9362
65	1418	9324
66	1444	9336
67	1462	9293
68	1482	9262
69	1504	9244
70	1524	9213
71	1541	9165
72	1560	9125
73	1583	9118
74	1602	9083
75	1630	9096
76	1655	9094
77	1674	9059
78	1691	9014
79	1709	8973
80	1731	8955
81	1748	8912
82	1774	8917
83	1797	8903
84	1816	8867
85	1833	8828
86	1849	8781
87	1873	8771
88	1895	8753
89	1917	8734
90	1937	8709
91	1953	8665
92	1979	8661
93	2004	8657
94	2031	8658
95	2050	8627
96	2074	8617
97	2094	8591
98	2117	8576
99	2140	8561
100	2157	8521
101	2181	8511
102	2201	8483
103	2219	8452
104	2236	8412
105	2255	8384
106	2277	8364
107	2299	8346
108	2322	8332
109	2343	8309
110	2363	8281
111	2384	8260
112	2407	8243
113	2425	8214
114	2444	8184
115	2469	8175
116	2488	8147
117	2506	8115
118	2524	8083
119	2545	8062
120	2566	8039
121	2591	8030
122	2610	8000
123	2632	7982
124	2651	7954
125	2674	7938
126	2693	7911
127	2714	7890
128	2735	7867
129	2763	7865
130	2783	7839
131	2801	7811
132	2824	7793
133	2844	7769
134	2863	7742
135	2884	7721
136	2907	7704
137	2929	7684
138	2950	7663
139	2975	7651
140	2994	7623
141	3014	7599
142	3038	7585
143	3060	7566
144	3081	7543
145	3107	7533
146	3128	7512
147	3148	7488
148	3169	7467
149	3191	7446
150	3214	7428
151	3239	7415
152	3253	7379
153	3273	7354
154	3293	7330
155	3314	7309
156	3333	7281
157	3359	7271
158	3377	7242
159	3399	7223
160	3422	7207
161	3443	7185
162	3465	7164
163	3485	7141
164	3512	7131
165	3533	7109
166	3551	7081
167	3571	7057
168	3594	7039
169	3619	7025
170	3639	7002
171	3656	6972
172	3677	6950
173	3699	6930
174	3718	6905
175	3738	6881
176	3761	6864
177	3782	6842
178	3802	6818
179	3824	6799
180	3844	6775
181	3866	6755
182	3891	6741
183	3912	6719
184	3930	6692
185	3950	6669
186	3976	6655
187	3993	6627
188	4017	6611
189	4040	6592
190	4064	6575
191	4084	6552
192	4108	6535
193	4131	6516
194	4151	6493
195	4171	6470
196	4192	6448
197	4216	6431
198	4241	6414
199	4259	6389
200	4281	6368
201	4301	6345
202	4322	6323
203	4343	6302
204	4364	6280
205	4384	6256
206	4408	6239
207	4433	6224
208	4454	6202
209	4478	6184
210	4497	6160
211	4522	6143
212	4544	6123
213	4562	6097
214	4584	6077
215	4606	6056
216	4627	6035
217	4648	6012
218	4665	5986
219	4688	5967
220	4711	5947
221	4731	5924
222	4755	5907
223	4773	5881
224	4797	5863
225	4822	5847
226	4850	5832
